,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Citizenship,Age,Lifetime Days,Has Linkedin,City,Country,Industry,Interviewed,Pathfinder Assigned,Customer Call Status,Languages,Completeness,Cleaned Country,Country Code,Continent Code,Longitude,Latitude,Continent
1116,1117,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,checked,Nairobi,Kenya,,,checked,None,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
1117,1118,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,,,214.0,,Johannesburg,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1118,1119,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,,,214.0,,Nairobi,Kenya,,,checked,Completed,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
1119,1120,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,,,214.0,,,Ghana,,,,None,,55.56,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
1120,1121,RoomMaster,The Room staff,Free Trial,Mid-career Leader,AL Staff,checked,female,,,123.0,,,,Social Media,,,,,50.0,Unknown,,,,,
1121,1122,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Accra,Ghana,,,,None,,61.11,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
1122,1123,RoomMaster,Joined post-Sprint - May,Free Trial,Senior Leader,Staff Nomination,checked,female,,,184.0,,Phoenix,United States of America,,,,,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
1123,1124,RoomMaster,Joined post-Sprint - May,Staff Membership,Young Leader,AL Staff,checked,female,,,184.0,,Port Louis,Mauritius,Education,,,,,61.11,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
1124,1125,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,female,,30-40,214.0,checked,Johannesburg,South Africa,,,checked,Completed,,77.78,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1125,1126,RoomMaster,Joined post-Sprint - June,Free Trial,Mid-career Leader,Staff Alumni,checked,male,,,153.0,,Johannesburg,South Africa,,,,,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1126,1127,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,,,214.0,,,South Africa,,,,None,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1127,1128,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,male,,,366.0,,Lagos,Nigeria,,,,None,,55.56,Nigeria,NG,AF,7.9999721,9.6000359,Africa
1128,1129,RoomMaster,Existing Room member,Premium Paying,Senior Leader,ALN,checked,female,,40-50,214.0,,Nairobi,Kenya,,,checked,Completed,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
1129,1130,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,female,,,366.0,,,United States of America,,,,Completed,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
1130,1131,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,San Diego,United States of America,,,,None,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
1131,1132,RoomMaster,Existing Room member,Founding Member,Senior Leader,,,male,,,366.0,,Cape Town,South Africa,,,,Completed,,50.0,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1132,1133,RoomMaster,Joined post-Sprint - May,Staff Membership,Young Leader,AL Staff,checked,male,,,184.0,,Kigali,Rwanda,,,,,,55.56,Rwanda,RW,AF,30.0644358,-1.9646631,Africa
